timestamp(s),angle,velocity,acceleration,wheel_angle,pwm,user_free
2293.335,0.0439,0.0,-0.0026,20019.2756,228.47,1
2293.345,0.0439,-0.0393,-0.0058,20021.1082,189.22,1
2293.355,0.0439,-0.024,0.0031,20023.0717,204.51,1
2293.365,0.0428,-0.036,-0.0051,20025.0352,187.76,1
2293.375,0.0428,-0.0611,-0.0087,20026.9987,162.8,1
2293.385,0.0428,0.0404,-0.001,20028.9622,255.0,1
2293.395,0.0428,-0.0524,-0.0024,20030.9257,171.73,1
2293.405,0.0428,-0.0284,0.0044,20032.8892,195.81,1
2293.415,0.0428,0.084,-0.0026,20034.8526,255.0,1
2293.425,0.0417,-0.108,-0.0003,20036.947,111.54,1
2293.4351,0.0417,-0.0065,0.0068,20038.9105,213.15,1
2293.4451,0.0428,0.0851,-0.0038,20040.874,255.0,1
2293.4551,0.0417,-0.0753,0.0012,20042.9684,144.57,1
2293.4651,0.0417,-0.0709,0.0084,20044.9319,149.06,1
2293.4751,0.0417,0.0567,-0.0086,20046.8954,255.0,1
2293.4851,0.0417,-0.0065,-0.0005,20048.9898,213.49,1
2293.4951,0.0406,-0.1134,0.0087,20051.0842,101.92,1
2293.5049,0.0417,0.0425,-0.0124,20053.0477,255.0,1
2293.5149,0.0417,0.0131,-0.0066,20055.1421,233.47,1
2293.5249,0.0406,-0.1298,0.011,20057.2365,85.85,1
2293.5359,0.0406,0.0469,-0.0143,20059.2,255.0,1
2293.5459,0.0406,-0.0142,-0.0023,20061.4253,201.65,1
2293.5559,0.0395,-0.1484,0.0024,20063.3888,62.7,1
2293.5659,0.0395,0.0382,-0.0197,20065.4832,249.2,1
2293.5759,0.0395,-0.0295,0.0024,20067.7085,181.84,1
2293.5859,0.0373,-0.1418,0.0066,20069.672,-60.36,1
2293.5959,0.0384,0.0273,0.0028,20071.7664,233.64,1
2293.606,0.0373,-0.0404,0.0086,20073.9917,161.34,1
2293.616,0.0362,-0.1298,0.0094,20076.0861,67.17,1
2293.626,0.0362,0.0175,-0.0005,20078.1804,214.45,1
2293.636,0.0362,-0.0349,0.0103,20080.4057,162.25,1
2293.646,0.0351,-0.1189,0.0133,20082.5001,73.49,1
2293.656,0.0351,0.0447,-0.0089,20084.5945,237.07,1
2293.666,0.0351,-0.0076,-0.0169,20086.6889,184.68,1
2293.676,0.034,-0.1124,0.0099,20088.9142,75.19,1
2293.686,0.0351,0.0425,-0.0187,20091.0086,235.11,1
2293.696,0.034,-0.036,-0.0,20093.2339,151.75,1
2293.7061,0.0329,-0.1178,0.0082,20095.3283,65.11,1
2293.717,0.034,0.0545,-0.0274,20097.4227,242.28,1
2293.7261,0.0329,-0.06,0.0073,20099.648,122.92,1
2293.7361,0.0319,-0.12,0.0134,20101.8733,-64.03,1
2293.7461,0.0329,0.0731,-0.0068,20103.9677,255.0,1
2293.7561,0.0319,-0.0545,0.0059,20106.193,123.75,1
2293.7661,0.0308,-0.132,0.014,20108.2874,-80.97,1
2293.7771,0.0319,0.1069,-0.0188,20110.5127,255.0,1
2293.7859,0.0319,-0.0622,0.0101,20112.738,116.35,1
2293.7959,0.0308,-0.1145,0.0068,20114.8324,-63.66,1
2293.8069,0.0319,0.1364,-0.0271,20117.0577,255.0,1
2293.8169,0.0308,-0.0611,0.0063,20119.283,112.67,1
2293.8269,0.0297,-0.0982,-0.004,20121.5082,70.8,1
2293.8369,0.0319,0.1549,-0.0227,20123.7335,255.0,1
2293.8469,0.0308,-0.06,0.0084,20125.8279,113.93,1
2293.8569,0.0308,-0.0731,0.0127,20128.0532,100.79,1
2293.8669,0.0319,0.1451,-0.0012,20130.2785,255.0,1
2293.877,0.0308,-0.0927,0.0108,20132.5038,81.37,1
2293.887,0.0308,-0.0458,0.0042,20134.7291,128.36,1
2293.897,0.0319,0.1167,-0.0286,20136.9544,255.0,1
2293.907,0.0297,-0.1331,0.0164,20139.1797,-87.61,1
2293.917,0.0297,0.0055,-0.0119,20141.405,174.9,1
2293.927,0.0308,0.0851,-0.014,20143.7612,255.0,1
2293.937,0.0297,-0.1789,0.0065,20145.8556,-133.65,1
2293.947,0.0297,0.0349,-0.0248,20148.2118,204.58,1
2293.957,0.0297,0.0491,0.0049,20150.4371,218.93,1
2293.967,0.0286,-0.2018,0.0147,20152.6624,-161.57,1
2293.9771,0.0286,0.0633,-0.0155,20154.8877,228.17,1
2293.9871,0.0286,0.0142,0.008,20157.113,179.07,1
2293.9971,0.0275,-0.1811,0.012,20159.4692,-145.84,1
2294.0081,0.0286,0.1113,-0.0279,20161.6945,255.0,1
2294.0181,0.0275,-0.0229,0.0148,20163.9197,137.31,1
2294.0281,0.0264,-0.1113,-0.007,20166.145,-80.92,1
2294.0371,0.0286,0.1364,-0.0183,20168.5012,255.0,1
2294.0471,0.0275,-0.0742,0.0086,20170.7265,86.24,1
2294.0581,0.0275,-0.0447,-0.0227,20172.9518,115.62,1
2294.0681,0.0286,0.1287,0.0021,20175.308,255.0,1
2294.0779,0.0275,-0.0916,0.0159,20177.5333,68.91,1
2294.0879,0.0275,0.0164,-0.0209,20179.8895,176.98,1
2294.0979,0.0286,0.048,0.0077,20182.1148,213.58,1
2294.1089,0.0275,-0.1025,0.0145,20184.3401,-67.54,1
2294.1179,0.0275,0.0545,-0.0286,20186.6963,215.18,1
2294.1279,0.0275,-0.0164,0.0136,20189.0525,144.51,1
2294.1379,0.0264,-0.0916,-0.0054,20191.2778,64.36,1
2294.1479,0.0275,0.0916,-0.0169,20193.634,252.55,1
2294.158,0.0264,-0.1069,0.0087,20195.8593,-77.11,1
2294.1689,0.0264,-0.0469,-0.0258,20198.2155,109.14,1
2294.178,0.0264,0.0938,0.0019,20200.5717,250.05,1
2294.188,0.0253,-0.1844,0.0154,20202.797,-159.61,1
2294.199,0.0253,0.0131,-0.0086,20205.1532,164.39,1
2294.209,0.0253,0.0633,0.0106,20207.3784,214.56,1
2294.219,0.0231,-0.2247,0.0098,20209.7346,-209.72,1
2294.229,0.0242,0.0731,-0.0274,20212.0908,219.63,1
2294.238,0.0242,0.0196,0.0178,20214.3161,166.15,1
2294.248,0.0231,-0.1516,-0.014,20216.6723,-136.7,1
2294.259,0.0242,0.1069,-0.0126,20218.8976,253.37,1
2294.269,0.0242,-0.0055,0.0155,20221.2538,141.0,1
2294.2791,0.0231,-0.0447,-0.026,20223.61,96.98,1
2294.2881,0.0242,0.1069,0.0042,20225.9662,253.65,1
2294.2981,0.0242,-0.0349,0.0159,20228.1915,111.79,1
2294.3101,0.0242,0.0305,-0.0208,20230.5477,177.19,1
2294.3191,0.0253,0.024,0.011,20232.773,175.51,1
2294.3291,0.0242,-0.0764,0.0045,20235.1292,70.22,1
2294.3379,0.0253,0.0884,-0.0234,20237.4854,239.99,1
2294.3479,0.0242,-0.0578,0.0079,20239.8416,89.03,1
2294.3589,0.0242,-0.0545,-0.0276,20242.1978,92.41,1
2294.3689,0.0253,0.0949,-0.0003,20244.554,246.85,1
2294.3799,0.0231,-0.1527,0.014,20246.7793,-138.05,1
2294.3879,0.0231,0.0055,-0.0038,20249.2663,147.58,1
2294.3979,0.0242,0.0589,0.0103,20251.4916,206.02,1
2294.4099,0.022,-0.1909,0.0147,20253.8478,-181.16,1
