timestamp(s),angle,velocity,acceleration,wheel_angle,pwm,user_free
790.039,0.0995,-0.108,0.0035,12403.6623,255.0,1
790.052,0.0995,-0.0731,0.0033,12404.4477,255.0,1
790.062,0.0984,-0.096,0.0024,12405.2331,255.0,1
790.072,0.0973,-0.06,0.0024,12406.0185,255.0,1
790.079,0.0973,-0.0567,-0.0051,12406.8039,255.0,1
790.089,0.0973,-0.0382,0.0058,12407.7202,255.0,1
790.102,0.0962,-0.036,-0.0007,12408.6365,255.0,1
790.112,0.0962,0.0011,0.0009,12409.5528,255.0,1
790.122,0.0962,0.012,0.0023,12410.4691,255.0,1
790.129,0.0973,0.0305,-0.0002,12411.3854,255.0,1
790.139,0.0973,0.0567,0.0024,12412.3017,255.0,1
790.152,0.0984,0.0873,0.0023,12413.218,255.0,1
790.162,0.0995,0.0665,0.0058,12414.2652,255.0,1
790.172,0.0995,0.0894,0.0005,12415.3124,255.0,1
790.179,0.1017,0.1167,-0.0028,12416.3596,255.0,1
790.189,0.1028,0.1527,0.0051,12417.4068,255.0,1
790.202,0.1049,0.192,-0.0044,12418.3231,255.0,1
790.212,0.106,0.1974,0.0049,12419.3703,255.0,1
790.222,0.1082,0.2323,0.0023,12420.5484,255.0,1
790.229,0.1104,0.2105,-0.001,12421.7265,255.0,1
790.239,0.1137,0.3043,-0.0035,12422.7737,255.0,1
790.252,0.1169,0.2891,0.0042,12423.9517,255.0,1
790.262,0.1202,0.3785,0.0003,12425.1298,255.0,1
790.272,0.1235,0.3785,0.0061,12426.177,255.0,1
790.279,0.1278,0.4385,-0.0066,12427.486,255.0,1
790.289,0.1322,0.4571,0.0065,12428.6641,255.0,1
790.302,0.1377,0.5203,-0.0021,12429.9731,255.0,1
790.312,0.1431,0.564,0.0024,12431.1512,255.0,1
790.322,0.1497,0.6349,0.0026,12432.3293,255.0,1
790.329,0.1562,0.697,-0.0005,12433.6383,255.0,1
790.34,0.1638,0.7789,0.004,12435.0782,255.0,1
790.352,0.1715,0.8498,-0.0002,12436.2563,255.0,1
790.362,0.1802,0.9196,0.0047,12437.5653,255.0,1
790.373,0.19,1.0057,-0.001,12438.8743,255.0,1
790.38,0.2009,1.1017,0.0026,12440.3142,255.0,1
