timestamp(s),angle,velocity,acceleration,wheel_angle,pwm,user_free
230.647,-0.0631,0.3502,0.0047,2899.9518,141.24,1
230.657,-0.0631,-0.0633,0.0112,2897.7265,-255.0,1
230.664,-0.0641,-0.0524,0.0166,2895.3703,-255.0,1
230.674,-0.0598,0.3829,-0.0119,2893.145,189.14,1
230.687,-0.0609,-0.0611,-0.022,2890.9197,-255.0,1
230.697,-0.062,-0.1004,0.0169,2888.5635,-255.0,1
230.707,-0.0576,0.3523,-0.0295,2886.3383,168.65,1
230.714,-0.0587,-0.1091,0.0009,2884.113,-255.0,1
230.724,-0.0609,-0.1287,-0.0045,2881.7568,-255.0,1
230.737,-0.0576,0.2825,-0.0178,2879.5315,98.96,1
230.747,-0.0587,-0.1374,0.0094,2877.1753,-255.0,1
230.757,-0.0598,-0.0873,0.0159,2874.8191,-255.0,1
230.764,-0.0587,0.1025,0.0086,2872.5938,-211.73,1
230.774,-0.0598,-0.0764,0.0131,2870.2376,-255.0,1
230.787,-0.0598,0.0207,-0.0129,2867.8814,-255.0,1
230.797,-0.0598,-0.0458,-0.0098,2865.5252,-255.0,1
230.807,-0.0598,-0.0284,0.011,2863.169,-255.0,1
230.814,-0.0587,0.108,-0.0298,2860.8128,-206.95,1
230.824,-0.0598,-0.1222,0.0063,2858.3257,-255.0,1
230.837,-0.0598,0.0982,0.0241,2855.9695,-222.18,1
230.847,-0.0587,0.1004,-0.0054,2853.6133,-215.11,1
230.857,-0.0598,-0.1429,0.0175,2851.1262,-255.0,1
230.864,-0.0587,0.1516,0.0003,2848.77,-164.2,1
230.874,-0.0576,0.0545,0.0096,2846.2829,-255.0,1
230.887,-0.0587,-0.0502,0.019,2843.7958,-255.0,1
230.897,-0.0565,0.1625,-0.0319,2841.3088,-144.16,1
230.907,-0.0576,-0.0622,0.0033,2838.8217,-255.0,1
230.914,-0.0565,0.0971,-0.0278,2836.3346,-210.0,1
230.925,-0.0554,0.12,-0.0003,2833.8475,-182.33,1
230.937,-0.0554,-0.0676,0.019,2831.3604,-255.0,1
230.947,-0.0543,0.1254,-0.0106,2828.8733,-172.2,1
230.958,-0.0543,0.0033,0.012,2826.3862,-255.0,1
230.965,-0.0543,0.0545,0.0079,2823.8991,-243.27,1
230.975,-0.0532,0.1178,-0.0234,2821.412,-175.16,1
230.988,-0.0532,-0.0349,0.0054,2818.794,-255.0,1
230.998,-0.0521,0.1484,-0.0323,2816.3069,-140.15,1
231.008,-0.0521,0.0076,0.001,2813.6889,-255.0,1
231.015,-0.0511,0.0469,0.0237,2811.2018,-237.01,1
