timestamp(s),angle,velocity,acceleration,wheel_angle,pwm,user_free
476.178,0.0449,-16.1875,0.02,-5031.2606,-255.0,1
476.188,0.0428,-11.875,0.59,-5029.5589,-255.0,1
476.198,0.0449,11.1875,-0.85,-5027.7263,255.0,1
476.206,0.0439,-2.5625,0.03,-5025.8937,71.32,1
476.216,0.0406,-22.0,0.42,-5024.1921,-255.0,1
476.228,0.0406,2.625,-1.01,-5022.3595,255.0,1
476.238,0.0428,10.625,0.33,-5020.5269,255.0,1
476.248,0.0395,-17.5,0.14,-5018.6943,-255.0,1
476.256,0.0384,-10.5,0.26,-5016.9926,-255.0,1
476.266,0.0406,14.8125,-0.61,-5015.16,255.0,1
476.278,0.0395,-3.25,0.13,-5013.4583,-130.41,1
476.288,0.0362,-21.8125,0.23,-5011.6257,-255.0,1
476.298,0.0373,3.6875,-0.84,-5009.924,255.0,1
476.306,0.0395,12.75,0.41,-5008.0914,255.0,1
476.316,0.0362,-19.0625,0.08,-5006.2588,-255.0,1
476.328,0.034,-11.875,-0.03,-5004.5571,-255.0,1
476.338,0.0362,14.4375,-0.52,-5002.8554,255.0,1
476.348,0.0351,-4.75,0.05,-5001.0228,-255.0,1
476.356,0.0319,-21.9375,0.31,-4999.3211,-255.0,1
476.366,0.0319,3.0625,0.32,-4997.6194,255.0,1
476.378,0.034,12.3125,0.76,-4995.7868,255.0,1
476.388,0.0319,-17.4375,-0.02,-4994.0851,-255.0,1
476.398,0.0297,-10.5625,-0.04,-4992.3834,-255.0,1
476.406,0.0319,13.125,0.01,-4990.6817,255.0,1
476.416,0.0308,-3.75,-0.36,-4988.8491,-219.18,1
476.428,0.0275,-19.6875,0.23,-4987.1474,-255.0,1
476.438,0.0275,0.6875,0.02,-4985.4457,255.0,1
476.448,0.0297,8.5,0.3,-4983.744,255.0,1
476.456,0.0264,-16.125,0.17,-4982.0423,-255.0,1
476.466,0.0253,-10.3125,0.04,-4980.3407,-255.0,1
476.478,0.0264,8.4375,-0.04,-4978.639,255.0,1
476.488,0.0253,-5.875,-0.03,-4976.9373,-255.0,1
476.499,0.0231,-16.25,0.35,-4975.2356,-255.0,1
476.506,0.022,-1.5,-0.09,-4973.5339,78.26,1
476.516,0.0231,6.5625,-0.26,-4971.9631,255.0,1
476.529,0.0209,-16.25,-0.18,-4970.1305,-255.0,1
476.539,0.0199,-10.1875,0.3,-4968.5597,-255.0,1
476.549,0.0209,5.0625,-0.13,-4966.858,255.0,1
476.557,0.0199,-6.625,-0.0,-4965.1563,-255.0,1
476.567,0.0177,-15.8125,-0.11,-4963.4546,-255.0,1
476.579,0.0166,-3.625,0.38,-4961.8838,-255.0,1
476.589,0.0166,2.6875,-0.24,-4960.313,255.0,1
476.599,0.0144,-14.0,0.16,-4958.6113,-255.0,1
476.607,0.0133,-9.75,0.2,-4957.0405,-255.0,1
476.617,0.0122,-6.5625,-0.29,-4955.3388,-255.0,1
476.629,0.0111,-6.5625,0.19,-4953.8989,-255.0,1
476.639,0.0089,-12.875,0.12,-4952.1972,-255.0,1
476.649,0.0079,-1.375,0.2,-4950.6264,-83.55,1
476.657,0.0068,-10.125,-0.36,-4949.1865,-255.0,1
476.667,0.0057,-4.4375,0.33,-4947.6157,-255.0,1
476.679,0.0057,-4.4375,-0.36,-4946.0449,-255.0,1
476.689,0.0046,-4.25,0.35,-4944.4741,-255.0,1
476.699,0.0035,-8.25,0.17,-4943.0342,-255.0,1
476.707,0.0035,5.375,-0.29,-4941.5943,255.0,1
476.717,0.0046,5.0625,0.06,-4940.1544,255.0,1
476.729,0.0046,-3.1875,0.11,-4938.5837,-255.0,1
476.739,0.0035,-2.25,-0.17,-4937.1438,-189.66,1
476.749,0.0046,1.875,0.02,-4935.7039,255.0,1
476.757,0.0046,0.25,-0.3,-4934.264,172.32,1
476.767,0.0035,-2.25,-0.21,-4932.6932,-189.44,1
476.779,0.0035,-5.375,0.73,-4931.2533,-255.0,1
476.789,0.0013,-9.5625,-0.03,-4929.8134,-255.0,1
476.799,0.0013,-0.625,-0.25,-4928.3735,69.91,1
476.807,0.0013,-0.5,0.34,-4926.9336,82.34,1
476.817,-0.0009,-12.5625,-0.14,-4925.4937,-255.0,1
476.829,-0.0031,-11.625,0.12,-4924.0538,-255.0,1
476.839,-0.0031,-0.625,-0.27,-4922.7448,-55.96,1
476.849,-0.0041,-3.9375,-0.0,-4921.3049,-255.0,1
476.857,-0.0052,-11.5625,0.39,-4919.865,-255.0,1
476.867,-0.0074,-10.4375,-0.22,-4918.4251,-255.0,1
476.879,-0.0085,-4.1875,-0.18,-4917.1161,-255.0,1
476.889,-0.0085,-1.375,0.08,-4915.8071,-155.14,1
476.899,-0.0096,-8.8125,0.23,-4914.3672,-255.0,1
476.908,-0.0118,-13.4375,-0.03,-4913.0582,-255.0,1
476.918,-0.0129,-4.5625,0.06,-4911.7492,-255.0,1
476.93,-0.0129,0.625,-0.21,-4910.4402,129.94,1
476.94,-0.014,-6.5625,-0.18,-4909.2621,-255.0,1
476.95,-0.0161,-10.6875,0.15,-4907.8222,-255.0,1
476.958,-0.0172,-7.125,-0.11,-4906.6441,-255.0,1
476.968,-0.0172,-4.75,0.1,-4905.3351,-255.0,1
476.98,-0.0183,-2.6875,-0.09,-4904.157,-255.0,1
476.99,-0.0194,-6.125,0.2,-4902.9789,-255.0,1
477.0,-0.0216,-12.6875,-0.06,-4901.6699,-255.0,1
477.008,-0.0227,-6.1875,-0.0,-4900.4918,-255.0,1
477.018,-0.0227,-0.4375,0.16,-4899.3137,-123.99,1
477.03,-0.0227,-4.5625,-0.16,-4898.1356,-255.0,1
477.04,-0.0249,-10.25,-0.07,-4896.9575,-255.0,1
477.05,-0.026,-6.375,0.06,-4895.7795,-255.0,1
477.058,-0.0271,-7.375,-0.13,-4894.7323,-255.0,1
477.068,-0.0281,-6.1875,-0.07,-4893.5542,-255.0,1
477.08,-0.0292,-5.875,0.32,-4892.507,-255.0,1
