timestamp(s),angle,velocity,acceleration,wheel_angle,pwm,user_free
326.894,0.0133,-7.5,-0.73,-11824.3002,-255.0,1
326.902,0.0122,-2.375,0.27,-11825.4783,-239.71,1
326.912,0.0144,10.0625,-0.48,-11826.7873,255.0,1
326.924,0.0133,-3.5,-0.07,-11827.9654,-255.0,1
326.934,0.0122,-8.3125,0.35,-11829.1435,-255.0,1
326.944,0.0133,5.4375,-0.53,-11830.3216,255.0,1
326.952,0.0122,-2.9375,0.45,-11831.6306,-255.0,1
326.962,0.0111,-6.6875,-0.34,-11832.8087,-255.0,1
326.974,0.0133,9.5625,-0.06,-11833.9868,255.0,1
326.984,0.0133,3.3125,0.38,-11835.2958,255.0,1
326.994,0.0122,-5.75,-0.63,-11836.4739,-255.0,1
327.002,0.0133,3.0625,-0.09,-11837.652,255.0,1
327.012,0.0155,11.0,-0.01,-11838.961,255.0,1
327.025,0.0144,-1.6875,-0.43,-11840.1391,-161.1,1
327.035,0.0144,0.1875,0.36,-11841.3172,128.2,1
327.045,0.0155,7.25,-0.12,-11842.4953,255.0,1
327.053,0.0155,-3.25,-0.53,-11843.6734,-255.0,1
327.063,0.0144,-4.625,0.12,-11844.9824,-255.0,1
327.075,0.0166,9.0,-0.25,-11846.1605,255.0,1
327.085,0.0155,-1.5,-0.27,-11847.3386,-137.29,1
327.095,0.0144,-7.6875,-0.11,-11848.5167,-255.0,1
327.103,0.0155,4.0,-0.9,-11849.6948,255.0,1
327.113,0.0166,4.8125,0.44,-11850.8729,255.0,1
327.125,0.0155,-4.3125,-0.23,-11852.051,-255.0,1
327.135,0.0166,4.6875,0.15,-11853.2291,255.0,1
327.145,0.0166,5.375,0.35,-11854.4072,255.0,1
327.153,0.0155,-7.375,-0.87,-11855.5853,-255.0,1
327.163,0.0155,-0.4375,-0.12,-11856.7634,70.39,1
327.175,0.0177,11.3125,-0.73,-11857.9415,255.0,1
327.185,0.0177,-2.375,-0.03,-11859.1196,-214.71,1
327.195,0.0166,-6.625,0.21,-11860.2977,-255.0,1
327.203,0.0177,6.125,-0.16,-11861.3449,255.0,1
