timestamp(s),angle,velocity,acceleration,wheel_angle,pwm,user_free
343.356,-0.0347,-10.375,0.27,-8610.8437,-255.0,1
343.368,-0.0336,7.125,-1.27,-8608.6184,255.0,1
343.378,-0.0336,-0.0625,0.1,-8606.3931,-185.03,1
343.388,-0.0347,-6.6875,0.71,-8604.2987,-255.0,1
343.396,-0.0325,10.5625,-0.79,-8602.0734,255.0,1
343.406,-0.0325,-0.25,0.39,-8599.979,-198.37,1
343.418,-0.0336,-7.0625,0.69,-8597.7537,-255.0,1
343.428,-0.0325,10.75,-1.23,-8595.6593,255.0,1
343.438,-0.0325,1.0625,0.65,-8593.5649,-66.69,1
343.446,-0.0336,-9.5625,0.06,-8591.3396,-255.0,1
343.456,-0.0314,10.25,-1.38,-8589.2452,255.0,1
343.468,-0.0314,0.3125,0.69,-8587.1508,-136.56,1
343.478,-0.0336,-10.9375,-0.64,-8585.0564,-255.0,1
343.488,-0.0325,7.0625,-0.69,-8582.8311,255.0,1
343.496,-0.0325,2.375,0.36,-8580.7367,187.15,1
343.506,-0.0347,-14.125,-1.42,-8578.6423,-255.0,1
343.518,-0.0347,2.0625,-0.2,-8576.5479,145.81,1
343.528,-0.0336,1.5,0.26,-8574.4535,94.37,1
343.539,-0.0369,-15.4375,0.67,-8572.3592,-255.0,1
343.546,-0.0369,-3.75,0.38,-8570.1339,-255.0,1
343.556,-0.0369,-0.0625,0.19,-8568.1704,-198.2,1
343.569,-0.0401,-15.625,0.24,-8566.076,-255.0,1
343.579,-0.0412,-9.5,-1.37,-8563.9816,-255.0,1
343.589,-0.0423,-2.0625,0.29,-8562.0181,-255.0,1
343.597,-0.0434,-9.375,-0.32,-8559.9237,-255.0,1
343.607,-0.0445,-6.8125,-0.96,-8557.9602,-255.0,1
343.619,-0.0456,-4.5625,0.42,-8555.8658,-255.0,1
343.629,-0.0456,-3.5625,-0.81,-8553.9023,-255.0,1
343.639,-0.0467,-3.8125,-0.26,-8551.9388,-255.0,1
343.647,-0.0478,-5.0625,-0.0,-8549.9753,-255.0,1
343.657,-0.0478,-2.5,-0.75,-8548.1427,-255.0,1
343.669,-0.0478,1.9375,-0.28,-8546.1792,72.28,1
343.679,-0.0478,-2.0625,-0.1,-8544.2157,-255.0,1
343.689,-0.0489,-5.1875,0.55,-8542.3831,-255.0,1
343.697,-0.0478,5.9375,-0.56,-8540.5505,255.0,1
343.707,-0.0478,2.5625,0.12,-8538.587,134.09,1
343.719,-0.0489,-9.3125,0.42,-8536.7544,-255.0,1
343.729,-0.0478,3.625,-0.67,-8534.9218,240.02,1
343.739,-0.0467,6.8125,0.46,-8532.9583,255.0,1
343.747,-0.0489,-11.1875,-0.11,-8531.1258,-255.0,1
343.757,-0.05,-7.5625,-0.31,-8529.2932,-255.0,1
343.769,-0.0489,9.1875,0.02,-8527.4606,255.0,1
343.779,-0.0511,-11.3125,-0.33,-8525.4971,-255.0,1
343.789,-0.0543,-22.375,-0.13,-8523.6645,-255.0,1
343.797,-0.0532,4.5625,0.35,-8521.8319,255.0,1
343.807,-0.0543,-3.4375,-0.16,-8519.9993,-255.0,1
343.819,-0.0587,-27.6875,0.24,-8518.1667,-255.0,1
343.829,-0.0598,-7.875,0.18,-8516.465,-255.0,1
343.839,-0.0598,0.375,-1.03,-8514.6324,-254.22,1
343.847,-0.0641,-20.625,0.04,-8512.7998,-255.0,1
343.857,-0.0674,-20.875,-0.19,-8510.9672,-255.0,1
343.869,-0.0685,-3.8125,-0.38,-8509.2655,-255.0,1
343.879,-0.0696,-12.3125,0.23,-8507.5638,-255.0,1
343.889,-0.074,-23.3125,-0.16,-8505.7312,-255.0,1
343.897,-0.0761,-10.9375,0.34,-8504.1604,-255.0,1
343.907,-0.0772,-8.1875,-0.42,-8502.3278,-255.0,1
343.92,-0.0805,-18.8125,-0.55,-8500.6261,-255.0,1
343.929,-0.0838,-17.75,-0.08,-8499.0553,-255.0,1
343.94,-0.086,-11.8125,-0.34,-8497.3536,-255.0,1
343.948,-0.0881,-14.25,0.12,-8495.7828,-255.0,1
343.958,-0.0914,-20.625,0.17,-8494.0811,-255.0,1
343.97,-0.0936,-15.625,0.16,-8492.5103,-255.0,1
343.98,-0.0969,-17.0,-0.53,-8490.9395,-255.0,1
343.99,-0.1001,-18.9375,-0.01,-8489.3687,-255.0,1
343.998,-0.1034,-20.125,0.04,-8487.798,-255.0,1
344.008,-0.1067,-20.6875,0.19,-8486.2272,-255.0,1
344.02,-0.111,-24.9375,-0.49,-8484.7873,-255.0,1
344.03,-0.1154,-23.3125,0.03,-8483.2165,-255.0,1
344.04,-0.1198,-24.5,0.1,-8481.7766,-255.0,1
344.048,-0.1241,-31.3125,0.1,-8480.3367,-255.0,1
344.058,-0.1307,-34.0,-0.36,-8478.7659,-255.0,1
344.07,-0.135,-29.3125,0.03,-8477.326,-255.0,1
344.08,-0.1416,-34.8125,0.34,-8475.8861,-255.0,1
344.09,-0.1492,-44.6875,-0.17,-8474.4462,-255.0,1
344.098,-0.1569,-47.0,0.21,-8473.1372,-255.0,1
344.108,-0.1634,-42.125,-0.47,-8471.6973,-255.0,1
344.12,-0.1721,-50.3125,-0.03,-8470.3883,-255.0,1
344.13,-0.183,-62.0,0.01,-8468.9484,-255.0,1
344.14,-0.1939,-66.75,0.2,-8467.6394,-255.0,1
344.148,-0.2049,-64.0,-0.19,-8466.3304,-255.0,1
