timestamp(s),angle,velocity,acceleration,wheel_angle,pwm,user_free
541.285,-0.0554,-3.6875,-0.12,14669.9287,-255.0,1
541.294,-0.0554,-5.5625,-0.41,14670.0596,-255.0,1
541.304,-0.0576,-7.9375,-0.17,14670.0596,-255.0,1
541.315,-0.0598,-7.75,-0.08,14670.0596,-255.0,1
541.325,-0.0609,-8.25,-0.08,14670.0596,-255.0,1
541.335,-0.062,-6.8125,0.04,14670.0596,-255.0,1
541.344,-0.062,-6.8125,-0.21,14669.9287,-255.0,1
541.354,-0.0631,-8.1875,-0.07,14669.9287,-255.0,1
541.365,-0.0663,-7.625,-0.22,14669.7978,-255.0,1
541.375,-0.0674,-8.8125,-0.18,14669.6669,-255.0,1
541.385,-0.0685,-7.125,-0.15,14669.536,-255.0,1
541.394,-0.0685,-7.125,-0.1,14669.4051,-255.0,1
541.404,-0.0718,-9.0625,-0.22,14669.2742,-255.0,1
541.415,-0.0729,-10.625,-0.17,14669.1433,-255.0,1
541.425,-0.075,-11.125,-0.2,14668.8815,-255.0,1
541.436,-0.0772,-12.0625,-0.07,14668.6197,-255.0,1
541.444,-0.0794,-12.0625,-0.15,14668.4888,-255.0,1
541.454,-0.0816,-13.125,-0.09,14668.227,-255.0,1
541.465,-0.0838,-15.375,-0.14,14667.9652,-255.0,1
541.476,-0.087,-16.875,-0.0,14667.7034,-255.0,1
541.486,-0.0903,-18.125,-0.22,14667.4416,-255.0,1
541.494,-0.0903,-18.125,-0.15,14667.1798,-255.0,1
541.504,-0.0936,-20.125,-0.12,14666.7871,-255.0,1
541.516,-0.1001,-23.25,-0.28,14666.5253,-255.0,1
541.526,-0.1034,-24.8125,-0.09,14666.1326,-255.0,1
541.536,-0.1089,-28.1875,-0.17,14665.8708,-255.0,1
541.545,-0.1089,-28.1875,-0.11,14665.4781,-255.0,1
541.555,-0.1132,-29.9375,-0.34,14664.9545,-255.0,1
541.566,-0.1252,-35.3125,-0.0,14664.5618,-255.0,1
541.576,-0.1318,-39.125,0.11,14664.1691,-255.0,1
541.586,-0.1383,-42.75,-0.48,14663.6455,-255.0,1
541.595,-0.147,-42.75,-0.08,14663.1219,-255.0,1
541.605,-0.1558,-48.0,-0.06,14662.7292,-255.0,1
541.616,-0.1645,-57.0625,-0.2,14662.2056,-255.0,1
541.626,-0.1754,-61.5625,0.03,14661.682,-255.0,1
541.636,-0.1863,-66.125,-0.31,14661.1584,-255.0,1
541.645,-0.1994,-66.125,0.02,14660.5039,-255.0,1
