timestamp_ms,angle_rad,velocity,wheel_vel,pwm,is_valid
137373.0,0.0384,0.0044,-4862.5015,255.0,1
137383.0,0.0384,0.0076,-8806.8975,255.0,1
137392.0,0.0384,0.0087,-7285.6997,255.0,1
137403.0,0.0384,0.0076,-6026.1245,255.0,1
137414.0,0.0384,-0.0905,-4984.1133,255.0,1
137424.0,0.0373,-0.1134,-4123.2173,255.0,1
137434.0,0.0362,-0.0731,-3409.8914,255.0,1
137443.0,0.0351,-0.1462,-2818.6462,255.0,1
137453.0,0.0329,-0.1909,-2329.5256,255.0,1
137463.0,0.0308,-0.1887,-1924.8904,255.0,1
137474.0,0.0286,-0.2345,-1589.0164,255.0,1
137484.0,0.0264,-0.2596,-1311.157,-255.0,1
137493.0,0.0242,-0.2422,-1081.292,-255.0,1
137503.0,0.0209,-0.3065,-891.131,-255.0,1
137514.0,0.0188,-0.3033,-733.8162,-255.0,1
137524.0,0.0177,-0.0971,-603.674,244.8,1
137534.0,0.0177,-0.0033,-497.1415,211.55,1
137543.0,0.0166,-0.1309,-409.0103,107.94,1
137553.0,0.0166,-0.0295,-336.1017,158.1,1
137564.0,0.0177,0.1069,-275.7865,193.54,1
137575.0,0.0177,0.0153,-225.8894,151.28,1
137585.0,0.0188,0.1451,-183.4805,206.38,1
137593.0,0.0209,0.1527,-148.3968,210.95,1
137603.0,0.0209,0.0556,-120.5035,164.62,1
137615.0,0.0209,0.1309,-96.2976,203.36,1
137625.0,0.0231,0.1549,-75.1423,214.73,1
137635.0,0.0231,0.0556,-58.7716,164.59,1
137643.0,0.0242,0.1004,-45.2286,190.94,1
137654.0,0.0253,0.1134,-32.8943,202.52,1
137665.0,0.0253,0.0316,-22.6906,163.28,1
137675.0,0.0264,0.0764,-14.2493,186.23,1
137685.0,0.0275,0.0458,-7.266,175.23,1
137694.0,0.0264,-0.012,-1.4889,141.88,1
137704.0,0.0275,0.0404,4.4208,182.19,1
137715.0,0.0275,0.0447,9.3097,174.09,1
137726.0,0.0275,-0.0491,12.2236,127.71,1
137736.0,0.0275,0.0273,15.7648,167.42,1
137744.0,0.0275,-0.0022,18.6943,151.9,1
137754.0,0.0264,-0.0764,21.1178,110.8,1
137766.0,0.0264,-0.0415,23.1226,128.54,1
137776.0,0.0264,-0.0502,24.7812,124.4,1
137786.0,0.0253,-0.1069,26.1533,91.87,1
137794.0,0.0242,-0.0698,27.2884,111.44,1
137804.0,0.0242,-0.0415,28.2275,120.86,1
137816.0,0.0231,-0.0894,29.0043,91.56,1
137826.0,0.022,-0.0731,30.7775,95.66,1
137836.0,0.022,-0.0338,31.1138,115.47,1
137844.0,0.0209,-0.0644,31.3921,95.97,1
137854.0,0.0209,-0.0371,31.6223,109.72,1
137866.0,0.0209,-0.0033,31.8128,126.72,1
137877.0,0.0209,-0.0393,33.1008,108.85,1
137887.0,0.0209,-0.0131,34.1664,122.05,1
137894.0,0.0209,0.0109,33.9174,134.08,1
137907.0,0.0209,-0.0131,33.7114,122.11,1
137916.0,0.0209,0.0055,34.6716,131.46,1
137926.0,0.0209,0.0327,35.4658,145.17,1
137937.0,0.0209,0.0076,36.1229,137.91,1
137945.0,0.0209,0.0196,36.6665,138.03,1
137955.0,0.0209,0.0491,37.1162,152.93,1
137967.0,0.022,0.0218,36.3577,143.75,1
137977.0,0.022,0.0262,35.7302,146.0,1
137987.0,0.022,0.0458,36.3416,155.93,1
137995.0,0.022,0.0229,36.8474,144.57,1
138005.0,0.0231,0.0262,37.2658,150.65,1
138017.0,0.0231,0.048,37.612,161.62,1
138027.0,0.0231,0.0436,37.8984,159.49,1
138037.0,0.0242,0.0436,38.1353,163.9,1
138045.0,0.0242,0.0687,38.3312,176.48,1
138055.0,0.0253,0.0469,39.6239,171.07,1
138067.0,0.0253,0.0545,40.6932,173.78,1
138077.0,0.0264,0.0894,41.5779,197.78,1
138088.0,0.0275,0.0502,42.3097,180.22,1
138095.0,0.0275,0.0436,42.9152,177.06,1
138105.0,0.0286,0.0753,43.416,197.34,1
138118.0,0.0286,0.0327,43.8304,176.15,1
138128.0,0.0286,0.0295,44.1732,174.58,1
138138.0,0.0297,0.0742,44.4567,203.46,1
138145.0,0.0297,0.0076,45.8218,167.92,1
138157.0,0.0297,-0.0131,45.8206,157.65,1
138168.0,0.0297,0.0676,45.8196,198.08,1
138178.0,0.0297,-0.0142,46.9493,157.29,1
138188.0,0.0297,-0.0262,47.8839,151.39,1
138195.0,0.0308,0.0665,48.657,208.48,1
138208.0,0.0308,0.0087,49.2966,172.52,1
138218.0,0.0297,-0.0393,50.9562,144.44,1
138228.0,0.0308,0.0611,52.3292,204.46,1
138238.0,0.0308,0.0196,52.3345,177.93,1
138246.0,0.0297,-0.0589,52.3389,145.02,1
138256.0,0.0308,0.036,53.473,188.36,1
138268.0,0.0308,-0.0076,54.4112,163.48,1
138278.0,0.0297,-0.0905,55.1874,118.14,1
138289.0,0.0297,0.0218,55.8295,174.71,1
138296.0,0.0297,0.0251,56.3607,176.65,1
138306.0,0.0297,-0.0731,56.8002,127.82,1
138318.0,0.0297,0.0044,57.1637,170.94,1
138329.0,0.0297,0.0327,58.595,182.7,1
138338.0,0.0286,-0.0622,59.779,128.81,1
138346.0,0.0297,0.0109,59.628,183.57,1
138356.0,0.0297,0.0393,59.5031,182.51,1
138369.0,0.0297,-0.0229,60.5303,152.0,1
138379.0,0.0297,0.0098,61.38,173.02,1
138389.0,0.0297,0.0327,62.083,180.11,1
138396.0,0.0297,-0.0262,62.6645,151.07,1
138406.0,0.0297,0.036,63.1456,184.59,1
138419.0,0.0308,0.0567,63.5436,197.21,1
138429.0,0.0308,0.0,63.8729,173.32,1
138439.0,0.0308,0.0436,64.1453,194.8,1
138446.0,0.0319,0.0829,64.3706,214.34,1
138458.0,0.0319,-0.0044,65.6875,171.12,1
138469.0,0.0319,0.0131,66.777,180.19,1
138479.0,0.0319,0.0676,66.5477,207.66,1
138489.0,0.0319,-0.0305,67.4886,164.05,1
138496.0,0.0319,-0.0055,69.3975,171.96,1
138506.0,0.0329,0.0829,69.8461,219.6,1
138520.0,0.0329,-0.0044,70.2173,176.22,1
138529.0,0.0329,-0.0382,71.6548,159.59,1
138539.0,0.0329,0.072,72.844,222.23,1
138547.0,0.034,0.0447,72.6974,204.77,1
138557.0,0.0329,-0.0873,72.576,134.7,1
138570.0,0.0329,0.0513,73.6061,213.7,1
138579.0,0.0329,0.0055,74.4583,180.36,1
138589.0,0.0329,-0.0862,76.2938,135.06,1
138597.0,0.0329,0.012,77.8123,184.57,1
138607.0,0.0329,0.0578,77.9379,215.08,1
138620.0,0.0319,-0.0796,79.1724,133.98,1
138630.0,0.0319,-0.0349,80.1936,172.49,1
138640.0,0.0329,0.0545,79.908,205.1,1
138647.0,0.0319,-0.0578,80.8021,144.08,1
