timestamp(s),angle,velocity,acceleration,wheel_angle,pwm,user_free
254.502,-0.0467,-6.3125,0.01,-9028.5446,-255.0,1
254.51,-0.0489,-12.5625,-0.23,-9030.3772,-255.0,1
254.52,-0.05,-5.625,-0.21,-9032.0789,-255.0,1
254.532,-0.0511,-4.875,0.33,-9033.9115,-255.0,1
254.542,-0.0532,-9.875,-0.14,-9035.6132,-255.0,1
254.552,-0.0543,-5.8125,0.15,-9037.4458,-255.0,1
254.56,-0.0543,-3.5625,-0.6,-9039.2784,-255.0,1
254.57,-0.0543,-2.5,0.13,-9041.111,-255.0,1
254.582,-0.0554,-2.125,-0.86,-9042.9436,-255.0,1
254.592,-0.0554,-1.625,-0.17,-9044.7761,-255.0,1
254.602,-0.0554,-0.125,0.75,-9046.6087,-255.0,1
254.61,-0.0554,1.625,-0.47,-9048.5722,-175.66,1
254.62,-0.0554,0.75,0.36,-9050.5357,-255.0,1
254.632,-0.0554,-0.0625,-0.0,-9052.3683,-255.0,1
254.643,-0.0543,5.875,-0.35,-9054.2009,255.0,1
254.652,-0.0532,3.6875,-0.11,-9056.1644,154.56,1
254.661,-0.0532,-1.6875,-0.51,-9058.1279,-255.0,1
254.671,-0.0521,8.75,0.3,-9059.9605,255.0,1
254.682,-0.0511,5.875,-0.08,-9061.924,255.0,1
254.692,-0.0521,-8.375,-0.36,-9063.8875,-255.0,1
254.702,-0.0521,0.1875,0.73,-9065.7201,-255.0,1
254.711,-0.0511,10.8125,-0.61,-9067.5527,255.0,1
254.721,-0.0532,-12.125,-0.22,-9069.5162,-255.0,1
254.733,-0.0554,-17.6875,0.99,-9071.3488,-255.0,1
254.743,-0.0532,12.875,-0.5,-9073.3123,255.0,1
254.753,-0.0543,-6.5,-1.12,-9075.2758,-255.0,1
254.761,-0.0587,-26.0,0.46,-9077.1084,-255.0,1
254.771,-0.0598,-2.25,-0.22,-9078.941,-255.0,1
254.783,-0.0587,3.6875,-1.01,-9080.9045,130.35,1
254.793,-0.062,-20.875,0.42,-9082.868,-255.0,1
254.803,-0.0652,-19.4375,0.27,-9084.8315,-255.0,1
254.811,-0.0641,7.75,-0.7,-9086.6641,255.0,1
254.821,-0.0674,-14.9375,0.21,-9088.6275,-255.0,1
254.833,-0.0718,-30.125,-0.36,-9090.591,-255.0,1
254.843,-0.0718,1.625,-0.69,-9092.5545,-250.82,1
254.853,-0.074,-10.0,-0.35,-9094.518,-255.0,1
254.861,-0.0783,-31.25,0.03,-9096.4815,-255.0,1
254.871,-0.0816,-16.875,0.43,-9098.445,-255.0,1
254.883,-0.0816,0.5,-0.52,-9100.4085,-255.0,1
254.893,-0.087,-29.375,-0.12,-9102.372,-255.0,1
254.903,-0.0914,-29.375,0.38,-9104.4664,-255.0,1
254.911,-0.0925,-3.5,-0.29,-9106.4299,-255.0,1
254.921,-0.0958,-20.75,0.1,-9108.5243,-255.0,1
254.933,-0.1012,-33.5625,0.64,-9110.4878,-255.0,1
254.943,-0.1034,-12.6875,-0.4,-9112.5822,-255.0,1
254.953,-0.1067,-19.6875,0.38,-9114.6766,-255.0,1
254.961,-0.1132,-38.75,0.56,-9116.771,-255.0,1
254.971,-0.1165,-18.4375,-0.73,-9118.8654,-255.0,1
254.983,-0.1209,-23.5,-0.59,-9120.9598,-255.0,1
254.993,-0.1285,-45.125,0.48,-9123.0542,-255.0,1
255.003,-0.1329,-25.1875,-1.37,-9125.2795,-255.0,1
255.012,-0.1372,-30.6875,-0.17,-9127.3739,-255.0,1
255.022,-0.147,-55.25,0.75,-9129.5992,-255.0,1
255.033,-0.1525,-32.9375,-1.9,-9131.8244,-255.0,1
255.043,-0.159,-39.9375,0.24,-9133.9188,-255.0,1
255.053,-0.171,-69.625,1.0,-9136.1441,-255.0,1
255.062,-0.1787,-46.9375,0.02,-9138.3694,-255.0,1
255.072,-0.1885,-53.8125,0.85,-9140.5947,-255.0,1
255.084,-0.2027,-84.1875,0.86,-9142.82,-255.0,1
