timestamp(s),angle,velocity,acceleration,wheel_angle,pwm,user_free
593.397,-0.1252,45.4375,-0.12,13726.9273,255.0,1
593.408,-0.1176,48.0,-0.13,13727.4509,255.0,1
593.418,-0.11,45.875,0.01,13727.9745,255.0,1
593.428,-0.1012,48.0625,-0.02,13728.629,255.0,1
593.437,-0.0936,48.0625,0.09,13729.1526,255.0,1
593.447,-0.0849,48.875,0.13,13729.8071,255.0,1
593.458,-0.0783,44.0625,-0.0,13730.3307,255.0,1
593.468,-0.0707,41.1875,0.09,13730.9852,255.0,1
593.478,-0.0641,37.625,-0.19,13731.6397,255.0,1
593.487,-0.0587,37.625,0.01,13732.2942,255.0,1
593.498,-0.0543,33.3125,-0.26,13733.0796,255.0,1
593.508,-0.05,24.4375,-0.33,13733.7341,255.0,1
593.518,-0.0467,19.75,-0.31,13734.5195,255.0,1
593.528,-0.0434,16.3125,-0.36,13735.3049,255.0,1
593.537,-0.0412,16.3125,-0.35,13735.9594,255.0,1
593.547,-0.0401,12.25,0.05,13736.7448,185.07,1
593.558,-0.0401,2.6875,-0.38,13737.5302,-195.74,1
593.568,-0.0401,-1.9375,0.01,13738.3156,-255.0,1
593.578,-0.0412,-6.3125,-0.06,13739.2319,-255.0,1
593.587,-0.0423,-6.3125,-0.08,13740.0173,-255.0,1
593.598,-0.0434,-6.375,-0.08,13740.8027,-255.0,1
593.608,-0.0434,-5.4375,0.15,13741.5881,-255.0,1
593.618,-0.0445,-5.8125,-0.17,13742.2426,-255.0,1
593.629,-0.0456,-4.875,0.05,13742.8971,-255.0,1
593.638,-0.0467,-4.875,0.16,13743.6825,-255.0,1
593.648,-0.0467,-3.9375,0.01,13744.337,-255.0,1
593.658,-0.0478,-2.25,-0.19,13744.9915,-255.0,1
593.668,-0.0478,-3.4375,-0.11,13745.646,-255.0,1
593.679,-0.0478,-1.1875,-0.25,13746.3005,-255.0,1
593.688,-0.0478,-1.1875,-0.19,13746.8241,-255.0,1
593.698,-0.0478,2.8125,-0.32,13747.4786,-226.16,1
593.708,-0.0467,3.125,-0.0,13748.0022,-211.8,1
593.719,-0.0467,2.5,-0.14,13748.5257,-230.41,1
593.729,-0.0456,4.125,0.01,13749.0493,-176.64,1
593.738,-0.0445,4.125,-0.1,13749.5729,-171.64,1
593.748,-0.0445,4.125,-0.24,13750.0965,-171.56,1
593.759,-0.0434,5.5625,-0.02,13750.4892,-123.4,1
593.769,-0.0423,3.5625,0.02,13751.0128,-178.38,1
593.779,-0.0412,4.5,-0.22,13751.5364,-145.33,1
593.788,-0.0401,4.5,-0.12,13752.06,-140.41,1
593.799,-0.0401,3.4375,-0.06,13752.4527,-172.2,1
593.809,-0.0391,4.75,-0.14,13752.9763,-127.85,1
593.819,-0.0391,1.875,-0.19,13753.369,-214.05,1
593.829,-0.038,3.5625,0.05,13753.8926,-158.47,1
593.838,-0.038,3.5625,-0.16,13754.2853,-158.43,1
593.849,-0.038,1.0,-0.11,13754.678,-235.21,1
593.859,-0.0369,3.375,-0.09,13755.2016,-159.04,1
593.869,-0.0369,-1.125,-0.14,13755.5943,-255.0,1
593.879,-0.0369,1.3125,-0.03,13755.987,-220.83,1
593.888,-0.0369,3.5625,-0.11,13756.2488,-153.2,1
593.899,-0.0369,-1.25,-0.19,13756.6415,-255.0,1
593.909,-0.0358,5.8125,-0.03,13757.0342,-80.67,1
593.919,-0.0358,0.875,-0.24,13757.296,-228.71,1
593.929,-0.0347,1.875,-0.17,13757.6887,-193.74,1
593.939,-0.0336,1.875,-0.08,13758.0814,-188.84,1
593.949,-0.0336,0.375,-0.24,13758.3432,-233.78,1
593.959,-0.0325,7.3125,-0.13,13758.605,69.16,1
593.969,-0.0314,5.875,0.01,13758.8668,-58.76,1
593.979,-0.0303,4.0,-0.2,13759.2595,-110.09,1
593.989,-0.0292,11.1875,-0.22,13759.5213,200.01,1
593.999,-0.0281,3.375,-0.09,13759.7831,-118.94,1
594.009,-0.0271,5.375,-0.05,13760.0449,-53.97,1
594.019,-0.026,7.9375,-0.17,13760.3067,117.05,1
594.03,-0.026,0.25,-0.03,13760.5685,-202.72,1
594.039,-0.0249,0.25,-0.11,13760.8303,-197.78,1
594.049,-0.0249,1.0,-0.15,13761.0921,-175.25,1
594.059,-0.0249,-1.9375,-0.12,13761.3539,-255.0,1
594.069,-0.0249,4.8125,-0.16,13761.6157,-60.84,1
594.08,-0.0249,-0.5,-0.13,13761.8775,-220.2,1
594.089,-0.0249,0.4375,-0.06,13762.0084,-191.99,1
594.1,-0.0238,4.9375,-0.28,13762.2702,-52.02,1
594.11,-0.0238,-1.5,0.09,13762.532,-245.16,1
594.12,-0.0227,7.375,-0.09,13762.6629,114.56,1
594.13,-0.0216,5.4375,-0.32,13762.7938,61.24,1
594.14,-0.0216,0.8125,-0.11,13763.0556,-165.78,1
594.15,-0.0194,9.5625,-0.27,13763.1865,194.76,1
594.16,-0.0194,1.25,-0.01,13763.4483,-142.79,1
594.17,-0.0194,2.0,-0.1,13763.5792,-120.28,1
594.18,-0.0183,8.1875,-0.3,13763.7101,158.32,1
594.189,-0.0183,8.1875,-0.14,13763.841,158.26,1
594.2,-0.0183,2.9375,-0.03,13764.1028,-87.12,1
594.21,-0.0172,3.8125,-0.01,13764.3646,-56.03,1
594.22,-0.0183,-4.8125,-0.02,13764.4955,-255.0,1
594.23,-0.0183,1.75,-0.1,13764.6264,-122.74,1
594.24,-0.0183,-1.375,-0.16,13764.8882,-216.5,1
594.25,-0.0183,-3.875,0.03,13765.0191,-255.0,1
594.26,-0.0183,3.5,-0.3,13765.15,-70.2,1
594.27,-0.0183,-2.3125,-0.14,13765.2809,-244.53,1
594.28,-0.0183,0.3125,-0.06,13765.4118,-165.74,1
594.29,-0.0172,5.6875,-0.11,13765.5427,88.04,1
594.3,-0.0183,-1.5625,-0.07,13765.6736,-221.93,1
594.31,-0.0161,8.25,-0.02,13765.6736,169.72,1
594.32,-0.0161,4.0,-0.2,13765.8045,-45.08,1
594.33,-0.0161,0.3125,-0.01,13765.9354,-155.71,1
594.34,-0.014,10.625,-0.14,13765.9354,250.67,1
594.35,-0.014,0.875,-0.01,13766.0663,-128.91,1
594.36,-0.014,2.0,-0.25,13766.1972,-95.18,1
594.37,-0.0129,6.5,-0.24,13766.3281,131.83,1
594.381,-0.0129,-3.75,-0.06,13766.3281,-255.0,1
594.39,-0.0129,2.3125,-0.12,13766.459,-80.82,1
594.4,-0.0118,3.125,-0.14,13766.459,-51.5,1
594.41,-0.0129,-5.125,-0.13,13766.5899,-255.0,1
594.42,-0.0118,4.9375,-0.16,13766.7208,89.77,1
594.43,-0.0118,-1.0,0.21,13766.7208,-175.23,1
594.44,-0.0129,-3.0,0.2,13766.8517,-240.11,1
594.45,-0.0118,8.1875,-0.28,13766.8517,187.21,1
594.46,-0.0118,-2.4375,-0.09,13766.8517,-218.23,1
594.47,-0.0118,-0.5,-0.23,13766.9826,-160.1,1
594.481,-0.0107,7.75,-0.19,13766.9826,178.92,1
594.49,-0.0107,-2.4375,-0.17,13766.9826,-213.25,1
594.501,-0.0096,5.0625,0.04,13766.9826,103.09,1
594.511,-0.0085,7.3125,-0.08,13766.9826,175.47,1
594.521,-0.0096,-2.625,-0.22,13766.9826,-213.82,1
594.531,-0.0085,7.5,-0.18,13767.1135,181.1,1
594.54,-0.0074,1.5625,-0.18,13767.1135,-78.42,1
594.551,-0.0085,-2.75,-0.16,13767.1135,-212.66,1
594.561,-0.0063,8.8125,-0.26,13767.1135,230.26,1
594.571,-0.0074,-1.125,0.02,13767.1135,-158.94,1
594.581,-0.0074,-1.0625,-0.16,13767.1135,-157.03,1
594.591,-0.0052,8.1875,-0.17,13767.1135,216.37,1
594.601,-0.0063,-4.75,-0.0,13767.2444,-255.0,1
594.611,-0.0063,0.1875,-0.12,13767.2444,-114.67,1
594.621,-0.0052,5.9375,-0.1,13767.2444,148.93,1
594.631,-0.0063,-7.25,-0.05,13767.2444,-255.0,1
594.641,-0.0063,4.0625,-0.07,13767.2444,87.74,1
594.651,-0.0052,1.6875,-0.14,13767.2444,-64.66,1
594.661,-0.0063,-6.125,-0.15,13767.2444,-255.0,1
594.671,-0.0052,7.1875,-0.17,13767.2444,186.37,1
594.681,-0.0052,-0.875,-0.05,13767.2444,-141.48,1
594.691,-0.0063,-3.8125,-0.15,13767.1135,-234.49,1
594.701,-0.0052,8.75,-0.24,13767.1135,233.29,1
594.711,-0.0052,-3.3125,-0.06,13767.1135,-214.61,1
594.721,-0.0063,-2.3125,-0.04,13767.1135,-189.51,1
594.731,-0.0041,9.6875,-0.22,13767.1135,255.0,1
594.741,-0.0052,-5.375,-0.22,13766.9826,-255.0,1
594.751,-0.0052,-0.25,-0.13,13766.9826,-122.79,1
594.761,-0.0041,8.25,-0.28,13766.9826,223.26,1
594.771,-0.0052,-8.8125,-0.01,13766.9826,-255.0,1
594.781,-0.0052,2.6875,0.03,13766.9826,51.45,1
594.791,-0.0041,5.3125,0.03,13766.8517,135.16,1
594.801,-0.0052,-8.6875,-0.0,13766.8517,-255.0,1
594.811,-0.0052,2.3125,-0.13,13766.8517,-45.89,1
594.821,-0.0041,2.1875,-0.21,13766.8517,-44.7,1
594.832,-0.0063,-8.375,0.08,13766.7208,-255.0,1
594.841,-0.0052,3.75,0.08,13766.7208,83.46,1
594.851,-0.0052,-0.5625,0.08,13766.7208,-132.13,1
594.861,-0.0063,-6.8125,-0.15,13766.5899,-255.0,1
594.871,-0.0052,5.5625,0.01,13766.5899,137.88,1
594.882,-0.0063,-2.0625,0.11,13766.459,-182.11,1
594.892,-0.0063,-3.6875,-0.25,13766.459,-230.88,1
594.902,-0.0052,7.3125,0.01,13766.3281,190.45,1
594.912,-0.0052,-2.5625,-0.33,13766.3281,-192.24,1
594.922,-0.0063,-1.1875,-0.3,13766.1972,-155.9,1
